Unnamed: 0,Price CHF,Units,Total
PLA Filament - 1Kg,20.0,2.0,40.0
Raspberry Pi 5 - 8GB,80.0,1.0,80.0
PCA9685 Servo Driver,3.0,3.0,9.0
Motors with Encoders (5840-3650),22.0,14.0,308.0
Motors with Encoders (5840-3650) - Torso,27.0,1.0,27.0
MPU6050 Gyroscope,2.0,1.0,2.0
Rubber Grip Tape - 100cm,2.0,1.0,2.0
MicroSD Card - 64GB,8.0,1.0,8.0
Small Servo Motor with Encoders,6.0,20.0,120.0
DC Buck Converter (12/24V to 5V),1.0,1.0,1.0
Jumper Wires Set,3.0,2.0,6.0
Flange Coupling,1.0,31.0,31.0
TCA9548A I2C Multiplexer,1.0,3.0,3.0
24V Battery,30.0,1.0,30.0
USB Camera (OV3660) - 2 Units,8.0,2.0,8.0
Mini USB Microphone,2.0,1.0,2.0
AS5600 Magnetic Encoder,1.0,15.0,15.0
Speaker Driver Module,1.0,1.0,1.0
Screws and Bolts Assortment,10.0,1.0,10.0
Large Servo Motors (Neck and Wrist),15.0,3.0,45.0
ADS1115 Analog-to-Digital Converter,1.0,6.0,6.0
External 5V Amplifier with Volume Control,1.0,1.0,1.0
Bearings for Fingers Pack,1.0,1.0,1.0
Bearings for Motors,1.0,29.0,29.0
2mm Shaft for Fingers Pack,1.0,1.0,1.0
1mm Screws for Fingers Pack,1.0,1.0,1.0
Silicone,1.0,1.0,1.0
Thread for Fingers,1.0,1.0,1.0
1m Jack Audio Extender,1.0,1.0,1.0
0.5m USB Extender,1.0,3.0,3.0
,,,
,,,793.0
